Performance of Exceed Return,,,,,,,
model_names,period_return,annual_return,annual_volatility,max_drawback,Sharpe,Loss,Accuracy
20_categories of 2 act_relu,0.959236427,0.034180499,0.03134072,0.045361151,1.090609893,0.699112771,0.5225438
20_categories of 2 baseline,0.927518734,0.033337348,0.030659321,0.039220873,1.087347898,0.699264631,0.52253246
20_categories of 2 bn_no,2.379344141,0.062740277,0.053940051,0.061061347,1.163148269,0.692154879,0.50032055
20_categories of 2 dropout_025,1.138326005,0.038710825,0.032720588,0.03468929,1.183072397,0.697473938,0.51901406
20_categories of 2 dropout_075,8.117855729,0.116781862,0.105442794,0.095169228,1.107537629,0.690766009,0.4894832
20_categories of 2 dropout_0,1.719270779,0.05126142,0.041370821,0.047817623,1.239071847,0.696601757,0.503321
20_categories of 2 ds_11_31,0.955557327,0.034083365,0.03670424,0.066149493,0.928594782,0.694086598,0.49555728
20_categories of 2 filters_128,2.318533547,0.061776346,0.062257464,0.048384919,0.992272115,0.691951292,0.50323445
20_categories of 2 filters_32,4.09485317,0.084768888,0.090322833,0.083144068,0.938510063,0.691551424,0.48874027
20_categories of 2 filter_3_3,3.584071741,0.079057192,0.067075731,0.049059781,1.178625868,0.692098908,0.49722892
20_categories of 2 filter_7_3,3.131736165,0.07346962,0.060970973,0.039983285,1.204993386,0.691924064,0.50311595
20_categories of 2 layers_2,1.590480906,0.048715533,0.038997796,0.044455384,1.249186813,0.693839669,0.501885
20_categories of 2 layers_4,1.352287143,0.04367275,0.035610304,0.040685237,1.226407676,0.693791554,0.49825415
20_categories of 2 maxpool_2_2,2.732019812,0.068025288,0.074845017,0.066166259,0.908881994,0.692087799,0.49952966
20_categories of 3 Three_cates,0.761446581,0.028695266,0.018867295,0.029491383,1.520899845,0.939590776,0.46753427
60_categories of 2 baseline,0.404877396,0.017067328,0.036885498,0.175760254,0.462711058,0.693397977,0.5015275
